track_id,class,avg_kmph,max_kmph,min_kmph,first_frame,last_frame,snapshots
27,car,3.6515060293421318,58.647563043593195,0.0,409,1294,overspeed_snapshots\overspeed_ID27_F1273.jpg;overspeed_snapshots\overspeed_ID27_F1275.jpg;overspeed_snapshots\overspeed_ID27_F1276.jpg;overspeed_snapshots\overspeed_ID27_F1277.jpg;overspeed_snapshots\overspeed_ID27_F1278.jpg;overspeed_snapshots\overspeed_ID27_F1279.jpg;overspeed_snapshots\overspeed_ID27_F1280.jpg;overspeed_snapshots\overspeed_ID27_F1281.jpg;overspeed_snapshots\overspeed_ID27_F1282.jpg;overspeed_snapshots\overspeed_ID27_F1283.jpg;overspeed_snapshots\overspeed_ID27_F1284.jpg;overspeed_snapshots\overspeed_ID27_F1285.jpg;overspeed_snapshots\overspeed_ID27_F1289.jpg;overspeed_snapshots\overspeed_ID27_F1294.jpg
28,car,2.864467763592936,3.003201081984168,2.678513072194549,444,457,
29,truck,0.8553824671982283,6.405787360557148,0.0,467,850,
30,truck,10.038545913827198,23.7507192360248,2.649526824286622,481,635,
33,car,3.9590622256589607,59.324744149764406,0.0,534,1354,overspeed_snapshots\overspeed_ID33_F1331.jpg;overspeed_snapshots\overspeed_ID33_F1332.jpg;overspeed_snapshots\overspeed_ID33_F1334.jpg;overspeed_snapshots\overspeed_ID33_F1335.jpg;overspeed_snapshots\overspeed_ID33_F1336.jpg;overspeed_snapshots\overspeed_ID33_F1337.jpg;overspeed_snapshots\overspeed_ID33_F1338.jpg;overspeed_snapshots\overspeed_ID33_F1339.jpg;overspeed_snapshots\overspeed_ID33_F1340.jpg;overspeed_snapshots\overspeed_ID33_F1341.jpg;overspeed_snapshots\overspeed_ID33_F1342.jpg;overspeed_snapshots\overspeed_ID33_F1343.jpg;overspeed_snapshots\overspeed_ID33_F1344.jpg;overspeed_snapshots\overspeed_ID33_F1345.jpg;overspeed_snapshots\overspeed_ID33_F1346.jpg;overspeed_snapshots\overspeed_ID33_F1350.jpg;overspeed_snapshots\overspeed_ID33_F1353.jpg
34,truck,5.357945867661985,35.88915157044761,0.0,540,831,
35,car,0.7084211883571259,4.082653289510669,0.0,555,592,
36,car,13.022240996081,16.86028829622482,5.76659934923084,593,617,
38,car,18.191423711920233,29.51341251019417,8.669430149128415,620,670,
39,truck,0.45883050383013807,4.137504653202366,0.0,649,981,
40,car,4.355391477596444,9.381756490440534,0.0,638,925,
41,truck,7.26491092221642,47.5909538618413,0.0,643,811,overspeed_snapshots\overspeed_ID41_F808.jpg;overspeed_snapshots\overspeed_ID41_F810.jpg
42,truck,7.179497850935074,12.488007332825807,0.0,671,707,
44,car,2.536409737602393,3.316951816915703,0.0,696,717,
45,car,5.145438103125673,10.383433138180289,0.0,710,931,
48,car,5.46037527239758,68.50914505350455,0.0,771,1404,overspeed_snapshots\overspeed_ID48_F1379.jpg;overspeed_snapshots\overspeed_ID48_F1380.jpg;overspeed_snapshots\overspeed_ID48_F1381.jpg;overspeed_snapshots\overspeed_ID48_F1384.jpg;overspeed_snapshots\overspeed_ID48_F1385.jpg;overspeed_snapshots\overspeed_ID48_F1386.jpg;overspeed_snapshots\overspeed_ID48_F1387.jpg;overspeed_snapshots\overspeed_ID48_F1388.jpg;overspeed_snapshots\overspeed_ID48_F1389.jpg;overspeed_snapshots\overspeed_ID48_F1390.jpg;overspeed_snapshots\overspeed_ID48_F1391.jpg;overspeed_snapshots\overspeed_ID48_F1392.jpg;overspeed_snapshots\overspeed_ID48_F1393.jpg;overspeed_snapshots\overspeed_ID48_F1394.jpg
49,bus,15.502883059228957,25.38234016042275,6.312916187564956,853,859,
50,car,1.739363524886685,8.048542393336426,0.0,900,1091,
51,truck,13.203327424734892,21.332832926525196,5.987111181601904,952,969,
52,car,14.267319149651954,30.232781993271573,5.454586123935237,972,1111,
53,car,1.8126592717218177,4.046462270655275,0.0,982,989,
54,car,11.94466529986595,37.72660316515656,0.0,993,1254,
55,car,7.3033949532294695,65.13254047771213,0.0,1006,1215,overspeed_snapshots\overspeed_ID55_F1214.jpg;overspeed_snapshots\overspeed_ID55_F1215.jpg
56,car,12.84784861454964,30.641893534234928,0.224418423006179,1040,1226,
57,car,12.217360210399837,37.12825614941686,0.0,1086,1308,
58,car,0.46937983942407435,2.940024299822425,0.0,1092,1134,
59,truck,6.499804863985676,8.286408956206785,5.526092226613966,1134,1137,
60,car,27.73074494778005,50.0753253082927,12.181995137909071,1149,1198,overspeed_snapshots\overspeed_ID60_F1188.jpg;overspeed_snapshots\overspeed_ID60_F1190.jpg;overspeed_snapshots\overspeed_ID60_F1191.jpg;overspeed_snapshots\overspeed_ID60_F1192.jpg;overspeed_snapshots\overspeed_ID60_F1193.jpg;overspeed_snapshots\overspeed_ID60_F1194.jpg;overspeed_snapshots\overspeed_ID60_F1195.jpg;overspeed_snapshots\overspeed_ID60_F1196.jpg;overspeed_snapshots\overspeed_ID60_F1197.jpg;overspeed_snapshots\overspeed_ID60_F1198.jpg
61,car,12.042758558619896,50.81452627900809,0.0,1155,1402,overspeed_snapshots\overspeed_ID61_F1162.jpg;overspeed_snapshots\overspeed_ID61_F1163.jpg;overspeed_snapshots\overspeed_ID61_F1164.jpg;overspeed_snapshots\overspeed_ID61_F1165.jpg;overspeed_snapshots\overspeed_ID61_F1166.jpg;overspeed_snapshots\overspeed_ID61_F1167.jpg;overspeed_snapshots\overspeed_ID61_F1168.jpg;overspeed_snapshots\overspeed_ID61_F1170.jpg
62,car,0.18794102877131078,2.830249520153551,0.0,1159,1227,
63,car,8.74671389868793,37.16765037968983,0.0,1166,1447,
64,car,21.074397889346507,41.0772392845415,0.8575015902812496,1179,1242,overspeed_snapshots\overspeed_ID64_F1181.jpg
65,car,0.0,0.0,0.0,1187,1187,
66,car,2.8679221239403083,13.228043690800332,0.0,1215,1351,
68,car,13.137018381283424,95.04279293791842,0.0,1245,1482,overspeed_snapshots\overspeed_ID68_F1457.jpg;overspeed_snapshots\overspeed_ID68_F1458.jpg;overspeed_snapshots\overspeed_ID68_F1460.jpg;overspeed_snapshots\overspeed_ID68_F1461.jpg;overspeed_snapshots\overspeed_ID68_F1462.jpg;overspeed_snapshots\overspeed_ID68_F1463.jpg;overspeed_snapshots\overspeed_ID68_F1464.jpg;overspeed_snapshots\overspeed_ID68_F1465.jpg;overspeed_snapshots\overspeed_ID68_F1466.jpg;overspeed_snapshots\overspeed_ID68_F1467.jpg;overspeed_snapshots\overspeed_ID68_F1468.jpg;overspeed_snapshots\overspeed_ID68_F1469.jpg;overspeed_snapshots\overspeed_ID68_F1470.jpg;overspeed_snapshots\overspeed_ID68_F1471.jpg;overspeed_snapshots\overspeed_ID68_F1472.jpg;overspeed_snapshots\overspeed_ID68_F1473.jpg;overspeed_snapshots\overspeed_ID68_F1474.jpg;overspeed_snapshots\overspeed_ID68_F1475.jpg;overspeed_snapshots\overspeed_ID68_F1476.jpg;overspeed_snapshots\overspeed_ID68_F1477.jpg;overspeed_snapshots\overspeed_ID68_F1478.jpg;overspeed_snapshots\overspeed_ID68_F1482.jpg
69,car,16.892059397249454,33.846269423789074,4.29466800535856,1246,1363,
71,car,0.12475909663432737,2.706448805179349,0.0,1288,1433,
72,car,9.438776322290666,10.330798029556652,8.54675461502468,1294,1296,
73,car,17.130693350592146,71.30625937189157,0.0,1308,1462,overspeed_snapshots\overspeed_ID73_F1310.jpg;overspeed_snapshots\overspeed_ID73_F1311.jpg;overspeed_snapshots\overspeed_ID73_F1312.jpg;overspeed_snapshots\overspeed_ID73_F1313.jpg;overspeed_snapshots\overspeed_ID73_F1314.jpg;overspeed_snapshots\overspeed_ID73_F1315.jpg;overspeed_snapshots\overspeed_ID73_F1316.jpg;overspeed_snapshots\overspeed_ID73_F1317.jpg;overspeed_snapshots\overspeed_ID73_F1318.jpg;overspeed_snapshots\overspeed_ID73_F1319.jpg;overspeed_snapshots\overspeed_ID73_F1320.jpg;overspeed_snapshots\overspeed_ID73_F1321.jpg;overspeed_snapshots\overspeed_ID73_F1322.jpg;overspeed_snapshots\overspeed_ID73_F1323.jpg;overspeed_snapshots\overspeed_ID73_F1324.jpg;overspeed_snapshots\overspeed_ID73_F1325.jpg;overspeed_snapshots\overspeed_ID73_F1326.jpg;overspeed_snapshots\overspeed_ID73_F1327.jpg
77,car,4.722520500030243,9.314293426372807,0.0,1387,1456,
